,distance,descent,start_epoch_ms,active_duration_ms,Date,Time
0,5.037955387647263,34.905067443847656,1679298820072,1731745,2023-03-20,28.9
1,15.008791815112353,122.44511032104492,1679468664708,5889355,2023-03-22,98.2
2,5.190477449244826,35.50220775604248,1679604518091,1860476,2023-03-23,31.0
3,5.4284079711036775,36.15217590332031,1680075237831,2100919,2023-03-29,35.0
4,12.009340260246768,64.90592956542969,1680162329652,4423585,2023-03-30,73.7
5,16.101683644121525,98.7487723827362,1680333775543,5610592,2023-04-01,93.5
6,3.6648591884346664,48.95161056518555,1680511098682,1109997,2023-04-03,18.5
7,7.819450406613766,39.60308599472046,1680686945685,2700931,2023-04-05,45.0
8,5.07706160179246,31.39603614807129,1680768386914,1739910,2023-04-06,29.0
9,21.106721834624164,160.04526138305664,1681022671528,8006054,2023-04-09,133.4
10,7.45907302262728,49.149824142456055,1681200157480,2700537,2023-04-11,45.0
11,4.5858143071932735,20.755409240722656,1681287568809,1560005,2023-04-12,26.0
12,5.004447438354604,27.3691349029541,1681893097530,1932147,2023-04-19,32.2
13,21.10635915319993,217.0084686279297,1682195493774,7882646,2023-04-22,131.4
14,10.008234729251834,55.208621978759766,1682839789895,3539093,2023-04-30,59.0
15,3.2103144376575936,12.58272647857666,1682933761808,1171260,2023-05-01,19.5
16,3.3167607035562385,16.112866401672363,1683018041403,1201000,2023-05-02,20.0
17,2.5883261713366954,27.625455379486084,1683100918314,810803,2023-05-03,13.5
18,12.881383349245413,178.2535321712494,1683444163372,4637776,2023-05-07,77.3
19,8.011974611329846,45.527191162109375,1683620853157,2674509,2023-05-09,44.6
20,4.593541094487528,30.756546020507812,1683706972167,1410994,2023-05-10,23.5
21,16.102215550611728,100.45046997070312,1684031135663,6163594,2023-05-14,102.7
22,8.051490081443443,49.53817367553711,1684225324211,2998854,2023-05-16,50.0
23,8.005744930845694,42.911293029785156,1685602608429,2765306,2023-06-01,46.1
24,2.7879518913254144,29.963899612426758,1689397302650,1295392,2023-07-15,21.6
