Activity Type,Date,Distance,Time,Avg Pace,Best Pace,Total Ascent,Total Descent,Elapsed Time,Min Elevation,Max Elevation
Running,13/06/2021 11:29,4.97,0:27:22,5:30,4:05,19,26,0:27:59,38,51
Running,7/06/2021 18:06,4.44,0:27:44,6:15,4:18,14,13,0:27:44,29,55
Running,6/06/2021 11:21,4.67,0:26:19,5:38,3:20,24,23,0:26:19,20,32
Running,5/06/2021 10:40,9.5,0:56:30,5:57,4:59,18,20,0:57:28,-222,30
Cycling,11/05/2021 20:38,6.29,0:22:38,16.7,26,--,20,0:22:38,-7,94
Cardio,11/05/2021 18:50,0,1:01:23,--,--,--,--,1:20:38,100,106
Cycling,11/05/2021 18:05,7.62,0:38:24,11.9,39.9,24,2,0:38:24,80,102
Cycling,8/05/2021 16:09,5.68,0:28:35,11.9,24.8,26,7,0:28:35,73,100
Strength Training,7/05/2021 6:27,0,1:10:00,--,--,--,--,1:10:00,--,--
Strength Training,5/05/2021 6:11,0,0:55:13,--,--,--,--,0:55:13,--,--
Strength Training,4/05/2021 6:26,0,1:02:14,--,--,--,--,1:02:14,--,--
Strength Training,2/05/2021 10:07,0,1:04:04,--,--,--,--,1:04:37,--,--
