,File,Start Date,Total Length (meters),Total Elevation Gain (meters),Total Duration (minutes)
0,2023-05-17-180247.gpx,2023-05-17 08:31:10,6477.902319014678,65.7,35.66666666790843
1,2023-05-21-164627.gpx,2023-05-21 08:42:56,17051.862977160108,168.00000000000006,103.74999999627471
2,2023-05-23-183636.gpx,2023-05-23 09:16:39,7286.734119115115,60.19999999999999,43.16666667163372
3,2023-05-25-184836.gpx,2023-05-25 09:46:15,10020.745721780842,91.70000000000005,57.30000000074506
4,2023-05-26-050626.gpx,2023-05-25 19:28:30,5011.534499701729,39.3,28.716666664928198
5,2023-05-29-174038.gpx,2023-05-29 08:24:17,8072.124681411954,78.30000000000004,45.483333330601454
6,2023-05-30-180928.gpx,2023-05-30 09:04:08,9681.409738468914,81.39999999999999,54.066666673868895
7,2023-06-04-094019.gpx,2023-06-04 01:15:34,16126.974339365483,159.70000000000005,97.15000000968575
8,2023-06-05-181808.gpx,2023-06-05 08:18:08,4835.1016013880135,48.300000000000004,30.716666668653488
9,2023-06-13-162909.gpx,2023-06-13 16:19:20,8057.366451807267,70.59999999999997,48.483333338052034
10,2023-06-15-181344.gpx,2023-06-15 18:09:05,9675.335200978867,98.09999999999998,60.91666666790843
11,2023-06-19-073023.gpx,2023-06-19 06:03:20,8043.061595646213,63.80000000000001,49.566666670143604
12,2023-06-20-063630.gpx,2023-06-20 05:09:34,8056.74924908769,79.60000000000002,50.83333333209157
13,2023-06-21-085357.gpx,2023-06-21 07:42:46,6920.503297577477,35.20000000000002,48.11666667088866
14,2023-06-25-061518.gpx,2023-06-25 06:03:27,16101.35428008507,124.9000000000001,108.84999999776483
15,2023-06-28-061009.gpx,2023-06-28 04:54:09,8055.166939390409,84.79999999999995,52.183333337306976
16,2023-06-29-064259.gpx,2023-06-29 05:16:03,6440.889370895996,46.5,38.79999999329448
17,2023-07-10-164950.gpx,2023-07-10 07:33:48,8051.8449602858345,72.00000000000001,45.316666666418314
18,2023-07-12-165127.gpx,2023-07-12 07:29:54,9697.911108882057,94.20000000000003,56.516666669398546
19,2023-07-13-171656.gpx,2023-07-13 07:16:56,6451.581892080848,53.900000000000034,37.5
