,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,start_date,start_date_local,timezone,utc_offset,Runner
41,5006.6,1556,1873,32,Run,Run,0,2021-09-16T17:03:25Z,2021-09-16T18:03:25Z,(GMT+00:00) Europe/London,3600,Rob
42,10009.9,3309,3373,58,Run,Run,0,2021-09-13T17:26:51Z,2021-09-13T18:26:51Z,(GMT+00:00) Europe/London,3600,Rob
43,21172.9,7898,7930,148,Run,Run,0,2021-09-12T10:13:04Z,2021-09-12T11:13:04Z,(GMT+00:00) Europe/London,3600,Rob
44,5006.4,1696,1730,0,Run,Run,0,2021-09-06T16:44:06Z,2021-09-06T17:44:06Z,(GMT+00:00) Europe/London,3600,Rob
45,9945.4,3601,3759,106,Run,Run,,2021-08-24T17:15:29Z,2021-08-24T18:15:29Z,(GMT+00:00) Europe/London,3600,Rob
46,9699.8,3785,4156,116,Run,Run,,2021-08-23T16:27:22Z,2021-08-23T17:27:22Z,(GMT+00:00) Europe/London,3600,Rob
47,5158.7,1612,1662,35.8,Run,Run,0,2021-08-21T08:32:09Z,2021-08-21T09:32:09Z,(GMT+00:00) Europe/London,3600,Rob
48,5988.2,2285,2422,11,Run,Run,,2021-08-19T04:54:27Z,2021-08-19T05:54:27Z,(GMT+00:00) Europe/London,3600,Rob
49,7532,2702,2806,14,Run,Run,,2021-08-18T05:21:49Z,2021-08-18T06:21:49Z,(GMT+00:00) Europe/London,3600,Rob
50,20009.5,7118,7235,206,Run,Run,0,2021-08-15T10:17:17Z,2021-08-15T11:17:17Z,(GMT+00:00) Europe/London,3600,Rob
51,4710.6,1480,1767,43,Run,Run,,2021-08-13T06:12:43Z,2021-08-13T07:12:43Z,(GMT+00:00) Europe/London,3600,Rob
52,6996.2,2604,2654,76,Run,Run,0,2021-08-12T06:00:37Z,2021-08-12T07:00:37Z,(GMT+00:00) Europe/London,3600,Rob
53,5578.5,1958,2044,9,Run,Run,0,2021-08-10T17:44:45Z,2021-08-10T18:44:45Z,(GMT+00:00) Europe/London,3600,Rob
54,3750.5,1367,1449,5,Run,Run,0,2021-08-09T17:36:27Z,2021-08-09T18:36:27Z,(GMT+00:00) Europe/London,3600,Rob
55,13005.1,4827,4831,27,Run,Run,0,2021-08-08T13:47:14Z,2021-08-08T14:47:14Z,(GMT+00:00) Europe/London,3600,Rob
56,6870.7,2420,2430,13,Run,Run,,2021-08-06T17:01:00Z,2021-08-06T18:01:00Z,(GMT+00:00) Europe/London,3600,Rob
57,5800.8,2122,2243,33,Run,Run,,2021-08-05T18:58:56Z,2021-08-05T19:58:56Z,(GMT+00:00) Europe/London,3600,Rob
58,5015.1,1658,1663,0,Run,Run,,2021-08-04T19:00:23Z,2021-08-04T20:00:23Z,(GMT+00:00) Europe/London,3600,Rob
59,12005.8,4361,4438,13.3,Run,Run,0,2021-08-01T10:33:53Z,2021-08-01T11:33:53Z,(GMT+00:00) Europe/London,3600,Rob
